casenum,prognum,Trial,Condition,juicerecord,juiceYN,EXpectedPicduration,ExpectedITIpostpic,ExpectedITIpostjuice,ExpectedTrialTIme,Value,Code,rename1,Subject,RunList,volumeSTART,volumeEND,rename2,eventtocode
17047,17247,5,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-01,4,94,95,food+N,Event
17048,17248,6,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-01,4,96,97,juiceN,Event
17049,17249,7,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-01,4,98,99,food+Y,Event
17050,17250,8,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-01,4,100,101,juiceY,Event
17051,17251,9,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-01,4,102,103,food+Y,Event
17052,17252,10,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-01,4,104,105,juiceY,Event
17053,17253,11,ero,,,2000,10000,,12000,2000,PIC2,ero,sub-01,4,106,107,ero,Event
17054,17254,12,mut,,,2000,10000,,12000,2000,PIC2,mut,sub-01,4,108,109,mut,Event
17055,17255,13,neu,,,2000,10000,,12000,2000,PIC2,neu,sub-01,4,110,111,neu,Event
17056,17256,14,checks,,,2000,10000,,12000,2000,PIC2,checks,sub-01,4,112,113,checks,Event
17057,17257,1,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-01,5,114,115,food+Y,Event
17058,17258,2,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-01,5,116,117,juiceY,Event
17059,17259,3,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-01,5,118,119,food+N,Event
17060,17260,4,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-01,5,120,121,juiceN,Event
17061,17261,5,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-01,5,122,123,food+N,Event
17062,17262,6,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-01,5,124,125,juiceN,Event
17063,17263,7,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-01,5,126,127,food+N,Event
17064,17264,8,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-01,5,128,129,juiceN,Event
17065,17265,9,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-01,5,130,131,food+N,Event
17066,17266,10,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-01,5,132,133,juiceN,Event
17067,17267,11,ero,,,2000,10000,,12000,2000,PIC2,ero,sub-01,5,134,135,ero,Event
17068,17268,12,mut,,,2000,10000,,12000,2000,PIC2,mut,sub-01,5,136,137,mut,Event
17069,17269,13,neu,,,2000,10000,,12000,2000,PIC2,neu,sub-01,5,138,139,neu,Event
17070,17270,14,checks,,,2000,10000,,12000,2000,PIC2,checks,sub-01,5,140,141,checks,Event
17071,17271,1,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-01,6,142,143,food+N,Event
17072,17272,2,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-01,6,144,145,juiceN,Event
17073,17273,3,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-01,6,146,147,food+N,Event
17074,17274,4,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-01,6,148,149,juiceN,Event
17075,17275,5,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-01,6,150,151,food+Y,Event
17076,17276,6,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-01,6,152,153,juiceY,Event
17077,17277,7,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-01,6,154,155,food+N,Event
17078,17278,8,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-01,6,156,157,juiceN,Event
17079,17279,9,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-01,6,158,159,food+Y,Event
17080,17280,10,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-01,6,160,161,juiceY,Event
17081,17281,11,ero,,,2000,10000,,12000,2000,PIC2,ero,sub-01,6,162,163,ero,Event
17082,17282,12,mut,,,2000,10000,,12000,2000,PIC2,mut,sub-01,6,164,165,mut,Event
17083,17283,13,neu,,,2000,10000,,12000,2000,PIC2,neu,sub-01,6,166,167,neu,Event
17084,17284,14,checks,,,2000,10000,,12000,2000,PIC2,checks,sub-01,6,168,169,checks,Event
17085,17285,1,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-02,1,170,171,food+Y,Event
17086,17286,2,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-02,1,172,173,juiceY,Event
17087,17287,3,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-02,1,174,175,food+Y,Event
17088,17288,4,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-02,1,176,177,juiceY,Event
17089,17289,5,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-02,1,178,179,food+Y,Event
17090,17290,6,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-02,1,180,181,juiceY,Event
17091,17291,7,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-02,1,182,183,food+Y,Event
17092,17292,8,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-02,1,184,185,juiceY,Event
17093,17293,9,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-02,1,186,187,food+Y,Event
17094,17294,10,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-02,1,188,189,juiceY,Event
17095,17295,11,ero,,,2000,10000,,12000,2000,PIC2,ero,sub-02,1,190,191,ero,Event
17096,17296,12,mut,,,2000,10000,,12000,2000,PIC2,mut,sub-02,1,192,193,mut,Event
17097,17297,13,neu,,,2000,10000,,12000,2000,PIC2,neu,sub-02,1,194,195,neu,Event
17098,17298,14,checks,,,2000,10000,,12000,2000,PIC2,checks,sub-02,1,196,197,checks,Event
17099,17299,1,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-02,2,198,199,food+Y,Event
17100,17300,2,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-02,2,200,201,juiceY,Event
17101,17301,3,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-02,2,202,203,food+N,Event
17102,17302,4,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-02,2,204,205,juiceN,Event
17103,17303,5,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-02,2,206,207,food+Y,Event
17104,17304,6,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-02,2,208,209,juiceY,Event
17105,17305,7,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-02,2,210,211,food+Y,Event
17106,17306,8,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-02,2,212,213,juiceY,Event
17107,17307,9,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-02,2,214,215,food+Y,Event
17108,17308,10,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-02,2,216,217,juiceY,Event
17109,17309,11,ero,,,2000,10000,,12000,2000,PIC2,ero,sub-02,2,218,219,ero,Event
17110,17310,12,mut,,,2000,10000,,12000,2000,PIC2,mut,sub-02,2,220,221,mut,Event
17111,17311,13,neu,,,2000,10000,,12000,2000,PIC2,neu,sub-02,2,222,223,neu,Event
17112,17312,14,checks,,,2000,10000,,12000,2000,PIC2,checks,sub-02,2,224,225,checks,Event
17113,17313,1,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-02,3,226,227,food+N,Event
17114,17314,2,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-02,3,228,229,juiceN,Event
17115,17315,3,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-02,3,230,231,food+Y,Event
17116,17316,4,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-02,3,232,233,juiceY,Event
17117,17317,5,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-02,3,234,235,food+Y,Event
17118,17318,6,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-02,3,236,237,juiceY,Event
17119,17319,7,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-02,3,238,239,food+N,Event
17120,17320,8,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-02,3,240,241,juiceN,Event
17121,17321,9,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-02,3,242,243,food+Y,Event
17122,17322,10,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-02,3,244,245,juiceY,Event
17123,17323,11,ero,,,2000,10000,,12000,2000,PIC2,ero,sub-02,3,246,247,ero,Event
17124,17324,12,mut,,,2000,10000,,12000,2000,PIC2,mut,sub-02,3,248,249,mut,Event
17125,17325,13,neu,,,2000,10000,,12000,2000,PIC2,neu,sub-02,3,250,251,neu,Event
17126,17326,14,checks,,,2000,10000,,12000,2000,PIC2,checks,sub-02,3,252,253,checks,Event
17127,17327,1,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-02,4,254,255,food+Y,Event
17128,17328,2,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-02,4,256,257,juiceY,Event
17129,17329,3,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-02,4,258,259,food+Y,Event
17130,17330,4,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-02,4,260,261,juiceY,Event
17131,17331,5,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-02,4,262,263,food+Y,Event
17132,17332,6,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-02,4,264,265,juiceY,Event
17133,17333,7,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-02,4,266,267,food+Y,Event
17134,17334,8,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-02,4,268,269,juiceY,Event
17135,17335,9,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-02,4,270,271,food+Y,Event
17136,17336,10,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-02,4,272,273,juiceY,Event
17137,17337,11,ero,,,2000,10000,,12000,2000,PIC2,ero,sub-02,4,274,275,ero,Event
17138,17338,12,mut,,,2000,10000,,12000,2000,PIC2,mut,sub-02,4,276,277,mut,Event
17139,17339,13,neu,,,2000,10000,,12000,2000,PIC2,neu,sub-02,4,278,279,neu,Event
17140,17340,14,checks,,,2000,10000,,12000,2000,PIC2,checks,sub-02,4,280,281,checks,Event
17141,17341,1,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-02,5,282,283,food+N,Event
17142,17342,2,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-02,5,284,285,juiceN,Event
17143,17343,3,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-02,5,286,287,food+N,Event
17144,17344,4,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-02,5,288,289,juiceN,Event
17145,17345,5,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-02,5,290,291,food+N,Event
17146,17346,6,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-02,5,292,293,juiceN,Event
17147,17347,7,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-02,5,294,295,food+Y,Event
17148,17348,8,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-02,5,296,297,juiceY,Event
17149,17349,9,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-02,5,298,299,food+Y,Event
17150,17350,10,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-02,5,300,301,juiceY,Event
17151,17351,11,ero,,,2000,10000,,12000,2000,PIC2,ero,sub-02,5,302,303,ero,Event
17152,17352,12,mut,,,2000,10000,,12000,2000,PIC2,mut,sub-02,5,304,305,mut,Event
17153,17353,13,neu,,,2000,10000,,12000,2000,PIC2,neu,sub-02,5,306,307,neu,Event
17154,17354,14,checks,,,2000,10000,,12000,2000,PIC2,checks,sub-02,5,308,309,checks,Event
17155,17355,1,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-02,6,310,311,food+N,Event
17156,17356,2,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-02,6,312,313,juiceN,Event
17157,17357,3,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-02,6,314,315,food+Y,Event
17158,17358,4,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-02,6,316,317,juiceY,Event
17159,17359,5,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-02,6,318,319,food+N,Event
17160,17360,6,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-02,6,320,321,juiceN,Event
17161,17361,7,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-02,6,322,323,food+N,Event
17162,17362,8,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-02,6,324,325,juiceN,Event
17163,17363,9,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-02,6,326,327,food+N,Event
17164,17364,10,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-02,6,328,329,juiceN,Event
17165,17365,11,ero,,,2000,10000,,12000,2000,PIC2,ero,sub-02,6,330,331,ero,Event
17166,17366,12,mut,,,2000,10000,,12000,2000,PIC2,mut,sub-02,6,332,333,mut,Event
17167,17367,13,neu,,,2000,10000,,12000,2000,PIC2,neu,sub-02,6,334,335,neu,Event
17168,17368,14,checks,,,2000,10000,,12000,2000,PIC2,checks,sub-02,6,336,337,checks,Event
17169,17369,1,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-03,1,338,339,food+N,Event
17170,17370,2,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-03,1,340,341,juiceN,Event
17171,17371,3,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-03,1,342,343,food+N,Event
17172,17372,4,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-03,1,344,345,juiceN,Event
17173,17373,5,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-03,1,346,347,food+Y,Event
17174,17374,6,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-03,1,348,349,juiceY,Event
17175,17375,7,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-03,1,350,351,food+Y,Event
17176,17376,8,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-03,1,352,353,juiceY,Event
17177,17377,9,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-03,1,354,355,food+Y,Event
17178,17378,10,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-03,1,356,357,juiceY,Event
17179,17379,11,ero,,,2000,10000,,12000,2000,PIC2,ero,sub-03,1,358,359,ero,Event
17180,17380,12,mut,,,2000,10000,,12000,2000,PIC2,mut,sub-03,1,360,361,mut,Event
17181,17381,13,neu,,,2000,10000,,12000,2000,PIC2,neu,sub-03,1,362,363,neu,Event
17182,17382,14,checks,,,2000,10000,,12000,2000,PIC2,checks,sub-03,1,364,365,checks,Event
17183,17383,1,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-03,2,366,367,food+Y,Event
17184,17384,2,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-03,2,368,369,juiceY,Event
17185,17385,3,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-03,2,370,371,food+N,Event
17186,17386,4,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-03,2,372,373,juiceN,Event
17187,17387,5,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-03,2,374,375,food+Y,Event
17188,17388,6,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-03,2,376,377,juiceY,Event
17189,17389,7,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-03,2,378,379,food+Y,Event
17190,17390,8,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-03,2,380,381,juiceY,Event
17191,17391,9,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-03,2,382,383,food+Y,Event
17192,17392,10,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-03,2,384,385,juiceY,Event
17193,17393,11,ero,,,2000,10000,,12000,2000,PIC2,ero,sub-03,2,386,387,ero,Event
17194,17394,12,mut,,,2000,10000,,12000,2000,PIC2,mut,sub-03,2,388,389,mut,Event
17195,17395,13,neu,,,2000,10000,,12000,2000,PIC2,neu,sub-03,2,390,391,neu,Event
17196,17396,14,checks,,,2000,10000,,12000,2000,PIC2,checks,sub-03,2,392,393,checks,Event
17197,17397,1,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-03,3,394,395,food+Y,Event
17198,17398,2,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-03,3,396,397,juiceY,Event
17199,17399,3,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-03,3,398,399,food+N,Event
17200,17400,4,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-03,3,400,401,juiceN,Event
17201,17401,5,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-03,3,402,403,food+N,Event
17202,17402,6,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-03,3,404,405,juiceN,Event
17203,17403,7,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-03,3,406,407,food+N,Event
17204,17404,8,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-03,3,408,409,juiceN,Event
17205,17405,9,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-03,3,410,411,food+N,Event
17206,17406,10,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-03,3,412,413,juiceN,Event
17207,17407,11,ero,,,2000,10000,,12000,2000,PIC2,ero,sub-03,3,414,415,ero,Event
17208,17408,12,mut,,,2000,10000,,12000,2000,PIC2,mut,sub-03,3,416,417,mut,Event
17209,17409,13,neu,,,2000,10000,,12000,2000,PIC2,neu,sub-03,3,418,419,neu,Event
17210,17410,14,checks,,,2000,10000,,12000,2000,PIC2,checks,sub-03,3,420,421,checks,Event
17211,17411,1,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-03,4,422,423,food+N,Event
17212,17412,2,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-03,4,424,425,juiceN,Event
17213,17413,3,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-03,4,426,427,food+N,Event
17214,17414,4,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-03,4,428,429,juiceN,Event
17215,17415,5,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-03,4,430,431,food+N,Event
17216,17416,6,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-03,4,432,433,juiceN,Event
17217,17417,7,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-03,4,434,435,food+N,Event
17218,17418,8,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-03,4,436,437,juiceN,Event
17219,17419,9,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-03,4,438,439,food+N,Event
17220,17420,10,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-03,4,440,441,juiceN,Event
17221,17421,11,ero,,,2000,10000,,12000,2000,PIC2,ero,sub-03,4,442,443,ero,Event
17222,17422,12,mut,,,2000,10000,,12000,2000,PIC2,mut,sub-03,4,444,445,mut,Event
17223,17423,13,neu,,,2000,10000,,12000,2000,PIC2,neu,sub-03,4,446,447,neu,Event
17224,17424,14,checks,,,2000,10000,,12000,2000,PIC2,checks,sub-03,4,448,449,checks,Event
17225,17425,1,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-03,5,450,451,food+N,Event
17226,17426,2,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-03,5,452,453,juiceN,Event
17227,17427,3,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-03,5,454,455,food+N,Event
17228,17428,4,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-03,5,456,457,juiceN,Event
17229,17429,5,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-03,5,458,459,food+N,Event
17230,17430,6,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-03,5,460,461,juiceN,Event
17231,17431,7,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-03,5,462,463,food+N,Event
17232,17432,8,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-03,5,464,465,juiceN,Event
17233,17433,9,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-03,5,466,467,food+N,Event
17234,17434,10,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-03,5,468,469,juiceN,Event
17235,17435,11,ero,,,2000,10000,,12000,2000,PIC2,ero,sub-03,5,470,471,ero,Event
17236,17436,12,mut,,,2000,10000,,12000,2000,PIC2,mut,sub-03,5,472,473,mut,Event
17237,17437,13,neu,,,2000,10000,,12000,2000,PIC2,neu,sub-03,5,474,475,neu,Event
17238,17438,14,checks,,,2000,10000,,12000,2000,PIC2,checks,sub-03,5,476,477,checks,Event
17239,17439,1,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-03,6,478,479,food+N,Event
17240,17440,2,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-03,6,480,481,juiceN,Event
17241,17441,3,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-03,6,482,483,food+N,Event
17242,17442,4,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-03,6,484,485,juiceN,Event
17243,17443,5,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-03,6,486,487,food+N,Event
17244,17444,6,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-03,6,488,489,juiceN,Event
17245,17445,7,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-03,6,490,491,food+N,Event
17246,17446,8,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-03,6,492,493,juiceN,Event
17247,17447,9,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-03,6,494,495,food+N,Event
17248,17448,10,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-03,6,496,497,juiceN,Event
17249,17449,11,ero,,,2000,10000,,12000,2000,PIC2,ero,sub-03,6,498,499,ero,Event
17250,17450,12,mut,,,2000,10000,,12000,2000,PIC2,mut,sub-03,6,500,501,mut,Event
17251,17451,13,neu,,,2000,10000,,12000,2000,PIC2,neu,sub-03,6,502,503,neu,Event
17252,17452,14,checks,,,2000,10000,,12000,2000,PIC2,checks,sub-03,6,504,505,checks,Event
17253,17453,1,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-04,1,506,507,food+Y,Event
